carat,cut,color,clarity,depth,table,price,x,y,z
0.78,"Ideal","I","VS2",59.8,58,2652,5.98,6.02,3.59
0.75,"Ideal","E","IF",61.5,56,2652,5.88,5.84,3.6
0.72,"Ideal","I","VVS1",61.3,57,2654,5.75,5.77,3.53
0.73,"Ideal","G","IF",62.1,56,2654,5.74,5.79,3.58
0.74,"Ideal","G","IF",61.9,56,2654,5.8,5.83,3.6
0.71,"Ideal","E","IF",61.5,57,2654,5.7,5.75,3.52
0.71,"Ideal","E","VS2",61.8,57,2654,5.73,5.7,3.53
0.79,"Very Good","F","IF",62.6,57,2655,5.84,5.86,3.66
0.72,"Very Good","E","IF",59.7,59,2655,5.77,5.82,3.46
0.81,"Very Good","I","VVS1",63.2,59,2655,5.9,5.84,3.71
0.74,"Ideal","F","IF",62,56,2655,5.78,5.82,3.6
0.62,"Ideal","G","IF",62.2,54,2655,5.46,5.51,3.41
0.74,"Ideal","D","IF",62.2,57,2655,5.81,5.77,3.6
0.74,"Premium","D","IF",60.6,60,2655,5.88,5.84,3.55
1.2,"Fair","G","IF",64.4,55,2655,6.77,6.61,4.31
0.55,"Very Good","E","VS2",59.9,58,2656,5.29,5.33,3.18
0.7,"Very Good","D","IF",60.3,60,2656,5.74,5.77,3.47
0.84,"Very Good","F","IF",62.8,57,2656,5.99,6.04,3.78
0.73,"Ideal","H","IF",62,55,2656,5.76,5.85,3.6
0.7,"Ideal","E","IF",62.6,57,2656,5.64,5.67,3.54
0.7,"Ideal","E","IF",62.6,55,2656,5.62,5.66,3.53
0.7,"Ideal","E","IF",61.4,57,2656,5.71,5.75,3.52
0.57,"Ideal","F","IF",61.3,56,2656,5.32,5.36,3.28
0.79,"Premium","F","IF",62.8,55,2656,5.94,5.88,3.71
0.7,"Fair","G","VS2",64.4,56,2657,5.64,5.57,3.61
0.7,"Premium","F","IF",58.6,59,2657,5.83,5.78,3.4
0.7,"Good","H","VS2",63.8,57,2657,5.61,5.51,3.55
0.7,"Premium","E","VS2",62,60,2657,5.7,5.59,3.5
1,"Good","D","IF",57.8,62,2657,6.51,6.47,3.75
1,"Ideal","J","IF",61.2,56,2657,6.49,6.38,3.94
0.8,"Ideal","G","IF",63,56,2657,5.85,5.9,3.7
0.8,"Ideal","G","IF",62.2,57,2657,5.93,5.96,3.7
0.7,"Good","E","VVS1",65.5,57,2657,5.46,5.54,3.6
0.7,"Premium","G","VS2",58.1,55,2657,5.83,5.8,3.38
0.7,"Very Good","G","VS2",63.3,56,2657,5.63,5.59,3.55
0.7,"Premium","G","VS2",59.4,59,2657,5.79,5.76,3.43
0.7,"Premium","G","VS2",60.9,60,2657,5.72,5.68,3.47
0.7,"Ideal","F","VS2",61.6,57,2657,5.76,5.71,3.53
0.7,"Premium","F","VS2",60.2,59,2657,5.78,5.74,3.47
0.7,"Premium","G","VS2",62.2,61,2657,5.59,5.54,3.46
0.77,"Premium","G","IF",62.7,57,2657,5.85,5.79,3.65
0.7,"Very Good","G","VS2",63.1,55,2657,5.64,5.61,3.55
0.77,"Premium","G","IF",61.6,59,2657,5.9,5.85,3.62
0.7,"Premium","E","IF",58.6,60,2657,5.78,5.75,3.38
0.53,"Ideal","F","IF",61.3,57,2658,5.19,5.21,3.19
0.61,"Ideal","D","VVS1",61.9,56,2658,5.43,5.45,3.37
0.67,"Premium","G","VS2",60.1,60,2658,5.66,5.58,3.38
0.61,"Ideal","G","IF",62.3,56,2659,5.42,5.46,3.39
0.71,"Premium","D","VS2",62.7,58,2659,5.53,5.67,3.54
0.75,"Ideal","I","VVS1",61.1,59,2659,5.85,5.87,3.58
0.73,"Ideal","G","IF",60.7,56,2659,5.89,5.81,3.55
0.85,"Ideal","H","IF",61.8,54,2659,6.1,6.07,3.76
0.61,"Ideal","F","VS2",61.5,56,2660,5.44,5.49,3.36
0.71,"Ideal","I","IF",61.9,56,2660,5.71,5.74,3.54
0.71,"Ideal","I","IF",61.3,56,2660,5.72,5.75,3.52
0.73,"Ideal","E","IF",60.1,56,2661,5.91,5.87,3.54
0.87,"Premium","F","IF",61.5,57,2661,6.13,6.1,3.76
0.7,"Very Good","F","IF",60.6,60,2662,5.71,5.75,3.47
0.71,"Very Good","F","VS2",62.2,56,2662,5.7,5.72,3.55
0.7,"Ideal","F","IF",61.7,54,2662,5.72,5.75,3.54
0.7,"Ideal","F","IF",62.6,55,2662,5.67,5.68,3.55
0.7,"Ideal","F","IF",61.7,58,2662,5.67,5.7,3.51
0.8,"Good","G","IF",65.3,57,2662,5.78,5.85,3.8
0.79,"Very Good","H","IF",63.2,59,2663,5.87,5.84,3.7
0.76,"Very Good","H","IF",61.6,58,2663,5.88,5.91,3.63
0.71,"Ideal","E","IF",61.7,56,2663,5.72,5.75,3.54
0.55,"Ideal","E","VS2",61.1,57,2664,5.3,5.33,3.24
0.78,"Ideal","E","IF",62.7,56,2664,5.88,5.83,3.67
0.77,"Good","D","IF",63.8,58,2665,5.81,5.78,3.7
0.7,"Ideal","F","IF",59.8,55,2665,5.83,5.75,3.46
0.74,"Very Good","I","VVS1",62.6,57,2666,5.76,5.78,3.61
0.9,"Fair","I","VS2",65.8,55,2666,6.05,6.01,3.97
0.72,"Premium","E","IF",61.3,58,2666,5.81,5.78,3.55
0.83,"Ideal","H","IF",61.1,59,2666,6.05,6.1,3.71
0.72,"Premium","E","IF",63,56,2666,5.76,5.73,3.62
0.72,"Ideal","E","IF",61.2,56,2666,5.79,5.75,3.53
0.77,"Very Good","F","IF",60.1,56,2667,5.94,5.97,3.58
0.72,"Very Good","E","VS2",61.4,58,2667,5.78,5.82,3.56
0.71,"Ideal","F","IF",61.8,57,2667,5.69,5.72,3.53
0.58,"Premium","F","VVS1",61.1,59,2668,5.39,5.35,3.28
0.76,"Very Good","E","IF",63,59,2668,5.76,5.8,3.64
0.76,"Ideal","H","VS2",62.7,57,2668,5.82,5.86,3.66
0.82,"Ideal","E","IF",62.1,55,2668,6.04,6.01,3.74
0.71,"Ideal","F","IF",61.5,55,2668,5.78,5.75,3.54
0.7,"Premium","F","VVS1",61.7,60,2669,5.67,5.64,3.49
0.71,"Ideal","F","IF",60.9,55,2669,5.74,5.88,3.54
0.7,"Premium","F","VVS1",62.2,58,2669,5.63,5.59,3.49
0.96,"Premium","I","IF",61.3,60,2669,6.45,6.25,3.9
0.77,"Very Good","G","IF",63,59,2670,5.82,5.84,3.67
0.8,"Very Good","H","IF",62.3,59,2670,5.95,6,3.72
0.7,"Ideal","G","VVS1",62.6,56,2670,5.65,5.7,3.55
0.72,"Very Good","F","IF",63.1,56,2670,5.68,5.67,3.58
0.72,"Ideal","D","IF",62.7,55,2670,5.72,5.7,3.58
0.72,"Premium","D","IF",60.5,58,2670,5.88,5.79,3.53
0.72,"Premium","F","IF",59.5,62,2670,5.85,5.74,3.45
0.72,"Very Good","F","IF",63.4,58,2670,5.69,5.66,3.6
0.72,"Very Good","G","VVS1",60,59,2671,5.8,5.84,3.49
0.7,"Very Good","E","VVS1",62.7,60,2671,5.59,5.64,3.52
0.71,"Premium","G","VS2",60.3,60,2671,5.76,5.81,3.49
0.71,"Very Good","G","VS2",61.9,62,2671,5.69,5.72,3.53
0.54,"Ideal","D","VS2",61.3,56,2671,5.22,5.26,3.21
0.7,"Ideal","F","VS2",62,56,2671,5.71,5.74,3.55
0.7,"Ideal","F","VS2",61.8,54,2671,5.68,5.71,3.52
0.73,"Ideal","D","IF",61.8,57,2671,5.75,5.78,3.56
0.7,"Ideal","F","IF",60.3,58,2671,5.76,5.81,3.49
0.7,"Ideal","F","IF",60.7,57,2671,5.78,5.82,3.52
0.7,"Ideal","F","IF",61.1,56,2671,5.74,5.78,3.52
0.72,"Good","F","VS2",58,57,2671,5.93,6.01,3.46
0.74,"Premium","F","IF",61.4,59,2671,5.82,5.81,3.57
0.7,"Very Good","F","IF",62.5,59,2672,5.66,5.54,3.5
0.96,"Fair","H","IF",67.6,63,2672,5.99,5.84,4.01
0.72,"Very Good","F","IF",61.1,54,2673,5.82,5.84,3.56
0.7,"Very Good","E","VS2",62.9,56,2673,5.61,5.67,3.55
0.7,"Premium","E","VS2",60.9,59,2673,5.68,5.71,3.47
0.7,"Premium","E","VS2",60.8,58,2673,5.7,5.74,3.48
0.73,"Good","H","VVS1",64.1,58.8,2673,5.63,5.67,3.62
0.81,"Ideal","E","IF",61.4,57,2673,6,5.97,3.68
0.7,"Very Good","G","IF",59.1,62,2674,5.8,5.91,3.46
0.92,"Very Good","D","IF",63,58,2674,6.13,6.18,3.88
0.75,"Good","E","IF",63.4,57,2674,5.75,5.77,3.65
0.71,"Premium","E","IF",60.3,60,2674,5.77,5.74,3.47
0.72,"Ideal","F","IF",61.9,54,2674,5.83,5.73,3.57
0.72,"Ideal","F","IF",60.8,56,2674,5.82,5.79,3.53
0.72,"Ideal","E","IF",60.1,56,2674,5.85,5.83,3.51
0.73,"Very Good","F","IF",61.4,60,2675,5.74,5.76,3.53
0.52,"Ideal","E","VS2",61.3,56,2675,5.18,5.2,3.18
0.7,"Very Good","G","VVS1",59.2,58,2676,5.8,5.83,3.44
0.7,"Very Good","G","VVS1",61.7,59,2676,5.66,5.69,3.5
0.91,"Good","I","IF",64.2,59,2676,5.98,6.05,3.86
0.56,"Ideal","F","VS2",61.1,57,2676,5.32,5.35,3.25
0.7,"Ideal","F","VS2",62.2,55,2676,5.66,5.72,3.54
0.7,"Very Good","D","IF",61.1,57,2677,5.74,5.66,3.48
0.48,"Very Good","D","IF",60.6,55,2677,5.08,5.12,3.09
0.77,"Ideal","E","IF",62.4,56,2677,5.83,5.86,3.65
0.8,"Ideal","I","IF",62.6,56.1,2677,5.87,5.92,3.7
0.7,"Ideal","E","IF",62.8,55,2677,5.65,5.69,3.56
0.92,"Good","G","IF",63.8,57,2677,6.19,6.13,3.93
0.72,"Ideal","I","VVS1",61.3,57,2678,5.77,5.75,3.53
0.73,"Very Good","E","IF",63.2,58,2679,5.71,5.74,3.62
0.72,"Premium","G","VS2",60.7,60,2679,5.8,5.87,3.54
0.7,"Premium","E","IF",60.7,58,2679,5.73,5.74,3.48
0.59,"Ideal","F","VS2",62,54,2679,5.36,5.38,3.33
0.76,"Ideal","I","VVS1",61.5,57,2679,5.85,5.89,3.61
0.64,"Ideal","E","VVS1",60.8,56,2679,5.61,5.59,3.41
0.9,"Good","I","IF",60.9,63,2680,6.13,6.21,3.76
0.71,"Ideal","E","IF",61.7,56,2680,5.69,5.72,3.52
0.75,"Ideal","I","VS2",60.4,59,2680,5.86,5.9,3.55
0.76,"Ideal","E","IF",61.5,55,2680,5.88,5.93,3.63
0.76,"Ideal","E","IF",61.6,55,2680,5.87,5.92,3.63
0.76,"Ideal","E","IF",61.5,57,2680,5.83,5.87,3.6
0.76,"Good","E","IF",58.8,59,2680,5.95,5.99,3.51
0.7,"Very Good","G","VS2",63.6,57,2681,5.59,5.63,3.57
0.71,"Very Good","D","IF",63.2,58,2681,5.65,5.68,3.58
0.7,"Very Good","D","IF",58.2,60,2681,5.75,5.79,3.36
0.7,"Good","D","IF",62.6,60,2681,5.57,5.61,3.5
0.71,"Ideal","I","VS2",62.2,55,2681,5.71,5.73,3.56
0.71,"Ideal","E","IF",62.4,56,2681,5.68,5.7,3.55
0.9,"Premium","F","IF",58.5,60,2681,6.3,6.25,3.67
0.77,"Very Good","I","VVS1",62.2,59,2682,5.83,5.85,3.63
0.71,"Very Good","E","VS2",63.7,54,2682,5.65,5.66,3.6
0.76,"Ideal","F","IF",61.7,55,2682,5.87,5.9,3.63
0.76,"Ideal","D","IF",62.2,57,2682,5.83,5.85,3.63
0.57,"Ideal","F","VVS1",62.5,56,2682,5.27,5.32,3.31
0.5,"Ideal","E","VVS1",61.9,58,2682,5.07,5.11,3.15
0.53,"Ideal","F","IF",61.3,57,2682,5.21,5.19,3.19
0.7,"Very Good","H","VVS1",63.5,58,2682,5.63,5.59,3.56
0.71,"Premium","D","VS2",62.7,58,2683,5.67,5.53,3.54
0.71,"Very Good","D","IF",61,58,2683,5.71,5.87,3.53
0.75,"Premium","F","IF",61.5,58,2683,5.83,5.87,3.6
0.73,"Ideal","D","IF",62.4,56,2683,5.74,5.77,3.59
1.01,"Premium","J","IF",58.3,62,2683,6.49,6.43,3.77
1.01,"Fair","J","IF",66.9,58,2683,6.13,6.07,4.08
0.73,"Premium","G","VVS1",63,57,2683,5.75,5.67,3.6
0.73,"Premium","F","VS2",62.3,60,2683,5.77,5.73,3.58
1.01,"Premium","J","IF",59.3,56,2683,6.51,6.45,3.84
0.74,"Very Good","F","IF",62.9,57,2684,5.76,5.79,3.63
0.71,"Very Good","E","IF",63.5,57,2685,5.63,5.68,3.59
0.72,"Premium","G","VVS1",61.7,59,2685,5.71,5.66,3.51
0.71,"Ideal","H","VVS1",62.8,57,2685,5.65,5.72,3.57
0.74,"Good","F","IF",62.6,65,2685,5.66,5.69,3.55
0.71,"Fair","G","VVS1",65.5,55,2686,5.62,5.53,3.65
0.7,"Very Good","D","IF",63.5,58,2686,5.61,5.64,3.57
0.7,"Very Good","D","IF",62.1,56,2686,5.65,5.69,3.52
0.71,"Ideal","G","VVS1",61,57,2686,5.77,5.74,3.51
0.71,"Premium","F","VS2",59.6,59,2686,5.81,5.77,3.45
0.7,"Premium","F","VS2",62.4,59,2686,5.68,5.64,3.53
0.71,"Premium","G","VVS1",60.8,59,2686,5.76,5.72,3.49
0.71,"Premium","F","VS2",61.9,59,2686,5.75,5.72,3.55
0.71,"Ideal","F","VS2",62.8,56,2686,5.66,5.61,3.54
0.73,"Ideal","I","VS2",61.9,56,2686,5.77,5.8,3.59
0.72,"Ideal","G","IF",61.4,56,2686,5.75,5.78,3.54
0.8,"Fair","H","VS2",65.3,58,2686,5.78,5.73,3.76
0.9,"Very Good","J","VS2",63.3,56,2686,6.13,6.1,3.87
0.71,"Premium","F","VS2",62.4,59,2686,5.71,5.66,3.55
0.72,"Very Good","E","IF",61.6,58,2688,5.74,5.78,3.55
0.72,"Very Good","E","IF",61.4,58,2688,5.76,5.8,3.55
0.72,"Ideal","E","IF",62.1,54,2688,5.76,5.8,3.59
0.82,"Premium","F","IF",59.5,62,2688,6.13,6.08,3.63
0.76,"Premium","E","IF",61.5,58,2688,5.86,5.81,3.59
0.77,"Ideal","E","IF",62.3,57,2689,5.88,5.91,3.67
0.71,"Very Good","G","VS2",61.3,59,2690,5.72,5.76,3.52
0.74,"Very Good","G","IF",61.6,58,2690,5.78,5.81,3.57
0.71,"Very Good","D","IF",60.9,60,2690,5.71,5.76,3.49
0.76,"Ideal","H","VS2",61.8,57,2690,5.84,5.91,3.63
0.74,"Ideal","I","VVS1",62.5,56,2690,5.76,5.8,3.61
0.74,"Ideal","G","IF",61.7,56,2690,5.8,5.87,3.6
0.74,"Ideal","D","IF",62.2,57,2690,5.78,5.82,3.61
0.71,"Ideal","D","IF",61.6,56,2690,5.78,5.82,3.57
0.74,"Ideal","D","IF",61.1,57,2690,5.81,5.84,3.56
0.71,"Ideal","D","IF",61.3,57,2690,5.74,5.78,3.53
0.72,"Fair","E","VS2",64.4,59,2691,5.67,5.64,3.64
0.9,"Good","J","VS2",64.1,56,2691,6.12,6.08,3.91
0.72,"Ideal","E","VS2",62.7,55,2691,5.76,5.73,3.6
0.51,"Ideal","E","VVS1",61.1,54.7,2691,5.16,5.2,3.17
0.7,"Ideal","H","VVS1",61.8,56,2691,5.69,5.72,3.53
0.72,"Fair","F","IF",64.8,55,2691,5.64,5.6,3.64
0.9,"Fair","G","IF",72.9,54,2691,5.74,5.67,4.16
0.72,"Premium","D","IF",60.4,59,2691,5.77,5.72,3.47
0.78,"Fair","H","VS2",54.7,67,2691,6.25,6.15,3.4
0.76,"Ideal","H","VS2",62.7,57,2692,5.86,5.82,3.66
0.72,"Very Good","D","IF",61.3,59,2692,5.74,5.78,3.53
0.82,"Ideal","G","IF",61.6,56,2692,5.98,6.04,3.7
0.82,"Premium","I","VS2",62.2,59,2692,5.97,6.03,3.73
0.75,"Very Good","F","IF",63.7,58,2693,5.73,5.77,3.66
0.71,"Very Good","D","IF",61.7,59,2693,5.7,5.74,3.53
0.9,"Very Good","J","IF",62.3,59,2693,6.15,6.18,3.84
0.9,"Good","J","IF",63.9,56,2693,6.1,6.17,3.92
0.7,"Ideal","H","VS2",62.5,56,2693,5.7,5.63,3.54
0.7,"Ideal","E","VS2",62.5,55,2693,5.73,5.7,3.57
0.78,"Very Good","I","VVS1",60.9,55,2694,5.94,5.98,3.63
0.58,"Ideal","E","VS2",61.8,57,2694,5.37,5.4,3.33
0.8,"Ideal","I","VS2",62.6,54,2694,5.93,5.96,3.72
0.76,"Ideal","F","IF",61.5,55,2694,5.87,5.9,3.62
0.71,"Premium","F","VS2",60.8,58,2694,5.79,5.76,3.51
0.71,"Ideal","D","IF",63,55,2694,5.64,5.57,3.53
